年份,月份,排名,厂商,车型,销量,售价(万元)
2024,8,3,特斯拉,Model Y,40560,26.39-34.99
2024,8,4,五菱,宏光MINIEV,36980,3.28-9.99
2024,8,5,理想,L7,33210,31.98-37.98
2024,8,6,广汽埃安,AION Y,31200,11.98-18.98
2024,8,7,吉利,银河L7,28340,13.87-17.97
2024,8,8,小鹏,G6,26120,20.99-27.69
2024,8,9,长安,深蓝SL03,24120,14.59-19.19
2024,8,10,零跑,C11,21340,14.98-20.98
2024,9,1,比亚迪,宋PLUS DM-i,52340,15.98-21.98
2024,9,2,比亚迪,海豚,44560,10.28-13.68
2024,9,3,特斯拉,Model Y,37890,26.39-34.99
2024,9,4,五菱,宏光MINIEV,34210,3.28-9.99
2024,9,5,理想,L7,30560,31.98-37.98
2024,9,6,广汽埃安,AION Y,28450,11.98-18.98
2024,9,7,吉利,银河L7,25670,13.87-17.97
2024,9,8,小鹏,G6,23450,20.99-27.69
2024,9,9,长安,深蓝SL03,21560,14.59-19.19
2024,9,10,零跑,C11,18780,14.98-20.98
2024,10,1,比亚迪,宋PLUS DM-i,58920,15.98-21.98
2024,10,2,比亚迪,海豚,50340,10.28-13.68
2024,10,3,特斯拉,Model Y,43210,26.39-34.99
2024,10,4,五菱,宏光MINIEV,39560,3.28-9.99
2024,10,5,理想,L7,35670,31.98-37.98
2024,10,6,广汽埃安,AION Y,33420,11.98-18.98
2024,10,7,吉利,银河L7,30120,13.87-17.97
2024,10,8,小鹏,G6,27890,20.99-27.69
2024,10,9,长安,深蓝SL03,25670,14.59-19.19
2024,10,10,零跑,C11,23120,14.98-20.98
2024,11,1,比亚迪,宋PLUS DM-i,61230,15.98-21.98
2024,11,2,比亚迪,海豚,52670,10.28-13.68
2024,11,3,特斯拉,Model Y,45450,26.39-34.99
2024,11,4,五菱,宏光MINIEV,41890,3.28-9.99
2024,11,5,理想,L7,37890,31.98-37.98
2024,11,6,广汽埃安,AION Y,35670,11.98-18.98
2024,11,7,吉利,银河L7,32340,13.87-17.97
2024,11,8,小鹏,G6,29870,20.99-27.69
2024,11,9,长安,深蓝SL03,27650,14.59-19.19
2024,11,10,零跑,C11,24890,14.98-20.98
2024,12,1,比亚迪,宋PLUS DM-i,65450,15.98-21.98
2024,12,2,比亚迪,海豚,56780,10.28-13.68
2024,12,3,特斯拉,Model Y,48920,26.39-34.99
2024,12,4,五菱,宏光MINIEV,45210,3.28-9.99
2024,12,5,理想,L7,41230,31.98-37.98
2024,12,6,广汽埃安,AION Y,38970,11.98-18.98
2024,12,7,吉利,银河L7,35670,13.87-17.97
2024,12,8,小鹏,G6,32450,20.99-27.69
2024,12,9,长安,深蓝SL03,30120,14.59-19.19
2024,12,10,零跑,C11,27340,14.98-20.98
2025,1,1,比亚迪,海鸥,52340,7.38-8.98
2025,1,2,吉利,银河星愿,48670,9.68-12.98
2025,1,3,特斯拉,Model Y,42150,26.39-34.99
2025,1,4,五菱,宏光MINIEV,39870,3.28-9.99
2025,1,5,小米,SU7,35420,21.59-30.99
2025,1,6,理想,L6,32100,29.99-35.98
2025,1,7,广汽埃安,AION S,29650,13.98-17.98
2025,1,8,小鹏,MONA M03,27340,11.98-13.98
2025,1,9,长安,深蓝S7,25120,15.99-20.99
2025,1,10,零跑,T03,22890,5.98-8.98
2025,2,1,比亚迪,海鸥,49870,7.38-8.98
2025,2,2,吉利,银河星愿,45320,9.68-12.98
2025,2,3,特斯拉,Model Y,39560,26.39-34.99
2025,2,4,五菱,宏光MINIEV,37210,3.28-9.99
2025,2,5,小米,SU7,32890,21.59-30.99
2025,2,6,理想,L6,29560,29.99-35.98
2025,2,7,广汽埃安,AION S,27340,13.98-17.98
2025,2,8,小鹏,MONA M03,25120,11.98-13.98
2025,2,9,长安,深蓝S7,23010,15.99-20.99
2025,2,10,零跑,T03,20780,5.98-8.98
2025,3,1,比亚迪,海鸥,55670,7.38-8.98
2025,3,2,吉利,银河星愿,51230,9.68-12.98
2025,3,3,特斯拉,Model Y,44560,26.39-34.99
2025,3,4,五菱,宏光MINIEV,41890,3.28-9.99
2025,3,5,小米,SU7,37650,21.59-30.99
2025,3,6,理想,L6,34210,29.99-35.98
2025,3,7,广汽埃安,AION S,31450,13.98-17.98
2025,3,8,小鹏,MONA M03,28970,11.98-13.98
2025,3,9,长安,深蓝S7,26560,15.99-20.99
2025,3,10,零跑,T03,24120,5.98-8.98
2025,4,1,比亚迪,海鸥,53420,7.38-8.98
2025,4,2,吉利,银河星愿,48970,9.68-12.98
2025,4,3,特斯拉,Model Y,42340,26.39-34.99
2025,4,4,五菱,宏光MINIEV,39670,3.28-9.99
2025,4,5,小米,SU7,35420,21.59-30.99
2025,4,6,理想,L6,32100,29.99-35.98
2025,4,7,广汽埃安,AION S,29340,13.98-17.98
2025,4,8,小鹏,MONA M03,26780,11.98-13.98
2025,4,9,长安,深蓝S7,24320,15.99-20.99
2025,4,10,零跑,T03,22100,5.98-8.98
2025,5,1,比亚迪,海鸥,58920,7.38-8.98
2025,5,2,吉利,银河星愿,54320,9.68-12.98
2025,5,3,特斯拉,Model Y,46780,26.39-34.99
2025,5,4,五菱,宏光MINIEV,43560,3.28-9.99
2025,5,5,小米,SU7,39870,21.59-30.99
2025,5,6,理想,L6,36560,29.99-35.98
2025,5,7,广汽埃安,AION S,33890,13.98-17.98
2025,5,8,小鹏,MONA M03,31230,11.98-13.98
2025,5,9,长安,深蓝S7,28970,15.99-20.99
2025,5,10,零跑,T03,26340,5.98-8.98
2025,6,1,比亚迪,海鸥,56780,7.38-8.98
2025,6,2,吉利,银河星愿,51890,9.68-12.98
2025,6,3,特斯拉,Model Y,44560,26.39-34.99
2025,6,4,五菱,宏光MINIEV,41340,3.28-9.99
2025,6,5,小米,SU7,37650,21.59-30.99
2025,6,6,理想,L6,34320,29.99-35.98
2025,6,7,广汽埃安,AION S,31670,13.98-17.98
2025,6,8,小鹏,MONA M03,28970,11.98-13.98
2025,6,9,长安,深蓝S7,26560,15.99-20.99
2025,6,10,零跑,T03,24120,5.98-8.98
2025,7,1,比亚迪,海鸥,61230,7.38-8.98
2025,7,2,吉利,银河星愿,56780,9.68-12.98
2025,7,3,特斯拉,Model Y,48970,26.39-34.99
2025,7,4,五菱,宏光MINIEV,45670,3.28-9.99
2025,7,5,小米,SU7,42340,21.59-30.99
2025,7,6,理想,L6,38970,29.99-35.98
2025,7,7,广汽埃安,AION S,35890,13.98-17.98
2025,7,8,小鹏,MONA M03,32670,11.98-13.98
2025,7,9,长安,深蓝S7,30120,15.99-20.99
2025,7,10,零跑,T03,27890,5.98-8.98
2025,8,1,比亚迪,海鸥,64560,7.38-8.98
2025,8,2,吉利,银河星愿,59870,9.68-12.98
2025,8,3,特斯拉,Model Y,52340,26.39-34.99
2025,8,4,五菱,宏光MINIEV,48920,3.28-9.99
2025,8,5,小米,SU7,45670,21.59-30.99
2025,8,6,理想,L6,42100,29.99-35.98
2025,8,7,广汽埃安,AION S,38970,13.98-17.98
2025,8,8,小鹏,MONA M03,35420,11.98-13.98
2025,8,9,长安,深蓝S7,32890,15.99-20.99
2025,8,10,零跑,T03,30560,5.98-8.98
2025,9,1,比亚迪,海鸥,60340,7.38-8.98
2025,9,2,吉利,银河星愿,55670,9.68-12.98
2025,9,3,特斯拉,Model Y,48670,26.39-34.99
2025,9,4,五菱,宏光MINIEV,45210,3.28-9.99
2025,9,5,小米,SU7,41890,21.59-30.99
2025,9,6,理想,L6,38560,29.99-35.98
2025,9,7,广汽埃安,AION S,35420,13.98-17.98
2025,9,8,小鹏,MONA M03,32100,11.98-13.98
2025,9,9,长安,深蓝S7,29650,15.99-20.99
2025,9,10,零跑,T03,27340,5.98-8.98
2025,10,1,比亚迪,海鸥,68920,7.38-8.98
2025,10,2,吉利,银河星愿,63450,9.68-12.98
2025,10,3,特斯拉,Model Y,55670,26.39-34.99
2025,10,4,五菱,宏光MINIEV,51890,3.28-9.99
2025,10,5,小米,SU7,48670,21.59-30.99
2025,10,6,理想,L6,44560,29.99-35.98
2025,10,7,广汽埃安,AION S,41230,13.98-17.98
2025,10,8,小鹏,MONA M03,37890,11.98-13.98
2025,10,9,长安,深蓝S7,35120,15.99-20.99
2025,10,10,零跑,T03,32450,5.98-8.98
