species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Dream,40.8,18.4,195,3950,MALE,2007
Adelie,Dream,38.8,17.6,180,3850,FEMALE,2007
Adelie,Dream,38.1,16.5,198,3800,FEMALE,2007
Adelie,Dream,39.1,18.0,191,3900,MALE,2007
Adelie,Dream,35.9,16.6,190,3050,FEMALE,2007
Adelie,Dream,40.1,18.7,195,4300,MALE,2007
Adelie,Dream,37.0,16.9,185,3000,FEMALE,2007
Adelie,Dream,40.2,17.0,190,3450,FEMALE,2007
Adelie,Dream,41.4,18.6,191,3700,MALE,2007
Adelie,Dream,37.3,16.8,191,3050,FEMALE,2007
Adelie,Dream,39.0,18.7,185,3650,MALE,2007
Adelie,Dream,39.2,19.0,189,3800,MALE,2007
Adelie,Dream,36.6,17.8,185,3700,FEMALE,2008
Adelie,Dream,40.7,17.0,190,4050,MALE,2008
Gentoo,Biscoe,44.5,14.3,216,4850,FEMALE,2008
Gentoo,Biscoe,48.5,15.0,219,5300,MALE,2008
Gentoo,Biscoe,45.1,14.5,215,4850,FEMALE,2008
Gentoo,Biscoe,50.5,15.9,222,5550,MALE,2008
Gentoo,Biscoe,49.5,16.1,224,5650,MALE,2008
Gentoo,Biscoe,44.9,13.3,213,4550,FEMALE,2008
Gentoo,Biscoe,47.2,13.7,214,4950,FEMALE,2008
Gentoo,Biscoe,50.0,15.3,220,5550,MALE,2008
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2008
Gentoo,Biscoe,46.8,15.0,219,4750,FEMALE,2008
Gentoo,Biscoe,48.2,15.6,221,5100,MALE,2008
Gentoo,Biscoe,44.3,13.8,208,4400,FEMALE,2008
Gentoo,Biscoe,49.4,15.8,223,5400,MALE,2008
Gentoo,Biscoe,45.6,14.0,211,4900,FEMALE,2008
Gentoo,Biscoe,48.5,15.1,218,5350,MALE,2008
Gentoo,Biscoe,46.3,15.8,215,5050,MALE,2008
Gentoo,Biscoe,45.5,13.9,210,4650,FEMALE,2008
Gentoo,Biscoe,47.7,15.0,216,4750,FEMALE,2008
Gentoo,Biscoe,49.7,15.7,221,5500,MALE,2008
Gentoo,Biscoe,47.5,14.2,217,5450,MALE,2008
Gentoo,Biscoe,46.4,15.6,221,5000,FEMALE,2009
Gentoo,Biscoe,48.6,16.0,220,5800,MALE,2009
Adelie,Torgersen,35.7,16.9,185,3150,FEMALE,2009
Adelie,Torgersen,41.1,18.1,192,3750,MALE,2009
Adelie,Torgersen,36.6,17.8,185,3700,FEMALE,2009
Adelie,Torgersen,38.5,17.9,190,3300,FEMALE,2009
Adelie,Torgersen,42.8,18.5,195,4250,MALE,2009
Adelie,Torgersen,37.6,17.0,185,3600,FEMALE,2009
Adelie,Torgersen,40.2,19.1,186,3900,MALE,2009
Adelie,Torgersen,41.3,18.2,191,3900,MALE,2009
Adelie,Torgersen,37.0,17.5,180,3500,FEMALE,2009
Adelie,Torgersen,38.7,19.0,195,4450,MALE,2009
Adelie,Torgersen,40.0,17.4,185,3950,FEMALE,2009
Adelie,Torgersen,39.9,18.2,195,4050,MALE,2009
Adelie,Torgersen,38.9,18.8,190,3600,MALE,2009
Adelie,Torgersen,40.5,18.6,193,3800,FEMALE,2009
Adelie,Torgersen,39.4,17.8,184,3300,FEMALE,2009
Adelie,Torgersen,41.0,19.1,192,4000,MALE,2009
Adelie,Torgersen,38.1,18.6,190,3700,MALE,2009
Adelie,Torgersen,41.8,19.4,198,4450,MALE,2009
Adelie,Biscoe,37.6,18.5,194,3750,FEMALE,2009
Adelie,Biscoe,39.7,17.9,193,3975,MALE,2009
Adelie,Biscoe,38.5,17.6,199,3950,FEMALE,2009
Adelie,Biscoe,41.0,17.9,189,3800,MALE,2009
Adelie,Biscoe,41.3,17.4,197,3775,FEMALE,2009
Adelie,Biscoe,37.5,17.9,191,3900,FEMALE,2009
Adelie,Biscoe,39.4,17.8,186,3550,FEMALE,2009
Adelie,Biscoe,40.7,17.3,196,3900,MALE,2009
Adelie,Biscoe,38.6,17.2,188,3850,FEMALE,2009
Adelie,Biscoe,40.8,18.4,195,3950,MALE,2009
Adelie,Biscoe,39.2,18.4,195,4050,MALE,2009
Adelie,Biscoe,38.8,17.5,183,3650,FEMALE,2009
Adelie,Biscoe,40.2,19.1,189,3975,MALE,2009
Adelie,Biscoe,40.3,16.1,195,3500,FEMALE,2009
Adelie,Biscoe,38.1,17.0,191,3550,FEMALE,2009
Adelie,Biscoe,40.4,16.4,190,3475,FEMALE,2009
Adelie,Biscoe,39.6,16.9,189,3800,MALE,2009
Adelie,Biscoe,40.8,18.9,208,4300,MALE,2009
Adelie,Biscoe,36.5,18.0,182,3350,FEMALE,2009
Chinstrap,Dream,46.7,17.9,195,3500,FEMALE,2009
Chinstrap,Dream,49.5,18.7,202,3800,MALE,2009
Chinstrap,Dream,48.4,18.6,199,3700,MALE,2009
Chinstrap,Dream,45.8,18.1,195,3525,FEMALE,2009
Chinstrap,Dream,49.3,19.0,203,4050,MALE,2009
Chinstrap,Dream,47.5,18.3,197,3725,FEMALE,2009
Chinstrap,Dream,50.2,18.7,198,3775,MALE,2009
Chinstrap,Dream,48.2,17.9,197,3900,FEMALE,2009
Chinstrap,Dream,49.0,18.1,199,4000,MALE,2009
Chinstrap,Dream,48.0,17.7,196,3700,FEMALE,2009
Chinstrap,Dream,49.1,18.4,196,4000,MALE,2009
Chinstrap,Dream,48.5,17.5,195,3675,FEMALE,2009
Chinstrap,Dream,51.1,18.4,203,4300,MALE,2009
Chinstrap,Dream,46.8,16.9,189,3650,FEMALE,2009
Chinstrap,Dream,49.3,18.9,200,3900,MALE,2009
Chinstrap,Dream,46.6,18.2,194,3475,FEMALE,2009
Chinstrap,Dream,49.7,18.6,201,4100,MALE,2009
Chinstrap,Dream,48.3,19.2,197,3950,MALE,2009
Chinstrap,Dream,46.9,16.5,194,3800,FEMALE,2009
Chinstrap,Dream,49.8,17.3,198,3675,FEMALE,2009
Gentoo,Biscoe,47.3,15.3,214,5850,MALE,2009
Gentoo,Biscoe,45.8,14.6,210,4850,FEMALE,2009
Gentoo,Biscoe,49.8,16.8,230,6300,MALE,2009
Gentoo,Biscoe,46.2,14.9,214,5150,FEMALE,2009
Gentoo,Biscoe,48.4,14.6,213,5800,MALE,2009
Gentoo,Biscoe,45.9,14.2,212,4800,FEMALE,2009
Gentoo,Biscoe,47.2,15.5,216,4950,FEMALE,2009
Gentoo,Biscoe,51.1,16.3,223,5300,MALE,2009
Gentoo,Biscoe,46.5,13.7,210,4300,FEMALE,2009
Gentoo,Biscoe,48.8,16.2,222,6000,MALE,2009
Gentoo,Biscoe,47.6,14.5,215,5450,MALE,2009
Gentoo,Biscoe,45.3,13.8,208,4750,FEMALE,2009
Gentoo,Biscoe,46.9,16.1,215,5050,MALE,2009
Gentoo,Biscoe,48.5,15.0,219,4850,FEMALE,2009
Gentoo,Biscoe,49.1,15.0,228,5500,MALE,2009
Gentoo,Biscoe,46.1,15.1,214,4750,FEMALE,2009
Gentoo,Biscoe,49.5,16.2,229,5850,MALE,2009
Gentoo,Biscoe,47.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,45.1,14.4,210,4900,FEMALE,2009
Gentoo,Biscoe,46.8,15.9,221,5100,MALE,2009
Gentoo,Biscoe,45.6,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
Gentoo,Biscoe,49.0,15.7,221,5400,MALE,2009
Gentoo,Biscoe,45.7,17.0,203,4650,FEMALE,2009
Gentoo,Biscoe,47.0,15.1,215,5350,MALE,2009
Gentoo,Biscoe,46.7,14.7,211,5200,MALE,2009
Gentoo,Biscoe,45.3,14.3,209,4750,FEMALE,2009
Gentoo,Biscoe,48.2,15.4,216,5250,MALE,2009
Gentoo,Biscoe,46.6,17.3,199,3850,FEMALE,2009
Gentoo,Biscoe,49.0,16.6,221,5450,MALE,2009
Gentoo,Biscoe,46.4,17.8,192,3500,FEMALE,2009
Gentoo,Biscoe,48.5,15.6,222,5550,MALE,2009
Gentoo,Biscoe,45.5,15.0,210,4600,FEMALE,2009
Gentoo,Biscoe,47.9,16.2,221,5650,MALE,2009
Gentoo,Biscoe,45.8,14.4,212,4950,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,225,5750,MALE,2009
Gentoo,Biscoe,46.1,15.5,218,5150,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,MALE,2009
Gentoo,Biscoe,46.0,14.5,215,5050,FEMALE,2009
