年份,月份,排名,厂商,车型,销量,售价(万元),车型类型
2025,4,6,比亚迪,宋PLUS,28765,15.98,自主新能源
2025,4,7,特斯拉,Model 3,27654,26.59,合资新能源
2025,4,8,比亚迪,元UP,25432,9.68,自主新能源
2025,4,9,比亚迪,海豚,24321,11.68,自主新能源
2025,4,10,理想,L6,23145,25.98,自主新能源
2025,4,11,小鹏,MONA M03,22109,12.98,自主新能源
2025,4,12,蔚来,ET5,21098,32.80,自主新能源
2025,4,13,问界,M8,19876,29.98,自主新能源
2025,4,14,零跑,C10,18765,14.98,自主新能源
2025,4,15,小米,SU7,17654,24.99,自主新能源
2025,4,16,广汽丰田,铂智3X,7123,16.98,合资新能源
2025,4,17,上汽通用别克,GL8 PHEV,6543,35.98,合资新能源
2025,4,18,东风日产,N7,5876,18.98,合资新能源
2025,4,19,上汽大众,ID.3,5432,16.28,合资新能源
2025,4,20,华晨宝马,i3,4987,35.98,合资新能源
2025,5,1,比亚迪,秦PLUS,38765,9.18,自主新能源
2025,5,2,特斯拉,Model Y,37654,28.85,合资新能源
2025,5,3,五菱,宏光MINIEV,36543,4.58,自主新能源
2025,5,4,吉利,星愿,34321,8.38,自主新能源
2025,5,5,比亚迪,海鸥,33210,7.78,自主新能源
2025,5,6,比亚迪,宋PLUS,30987,15.98,自主新能源
2025,5,7,特斯拉,Model 3,29876,26.59,合资新能源
2025,5,8,比亚迪,元UP,27654,9.68,自主新能源
2025,5,9,比亚迪,海豚,26543,11.68,自主新能源
2025,5,10,理想,L6,25432,25.98,自主新能源
2025,5,11,小鹏,MONA M03,24321,12.98,自主新能源
2025,5,12,蔚来,ET5,23145,32.80,自主新能源
2025,5,13,问界,M8,22109,29.98,自主新能源
2025,5,14,零跑,C10,21098,14.98,自主新能源
2025,5,15,小米,SU7,19876,24.99,自主新能源
2025,5,16,广汽丰田,铂智3X,7654,16.98,合资新能源
2025,5,17,上汽通用别克,GL8 PHEV,6987,35.98,合资新能源
2025,5,18,东风日产,N7,6321,18.98,合资新能源
2025,5,19,上汽大众,ID.3,5876,16.28,合资新能源
2025,5,20,华晨宝马,i3,5432,35.98,合资新能源
2025,6,1,比亚迪,秦PLUS,41234,9.18,自主新能源
2025,6,2,特斯拉,Model Y,39876,28.85,合资新能源
2025,6,3,五菱,宏光MINIEV,38765,4.58,自主新能源
2025,6,4,吉利,星愿,36543,8.38,自主新能源
2025,6,5,比亚迪,海鸥,35432,7.78,自主新能源
2025,6,6,比亚迪,宋PLUS,33210,15.98,自主新能源
2025,6,7,特斯拉,Model 3,32109,26.59,合资新能源
2025,6,8,比亚迪,元UP,29876,9.68,自主新能源
2025,6,9,比亚迪,海豚,28765,11.68,自主新能源
2025,6,10,理想,L6,27654,25.98,自主新能源
2025,6,11,小鹏,MONA M03,26543,12.98,自主新能源
2025,6,12,蔚来,ET5,25432,32.80,自主新能源
2025,6,13,问界,M8,24321,29.98,自主新能源
2025,6,14,零跑,C10,23145,14.98,自主新能源
2025,6,15,小米,SU7,22109,24.99,自主新能源
2025,6,16,广汽丰田,铂智3X,8210,16.98,合资新能源
2025,6,17,上汽通用别克,GL8 PHEV,7543,35.98,合资新能源
2025,6,18,东风日产,N7,6876,18.98,合资新能源
2025,6,19,上汽大众,ID.3,6321,16.28,合资新能源
2025,6,20,华晨宝马,i3,5876,35.98,合资新能源
2025,7,1,吉利,星愿,44400,8.38,自主新能源
2025,7,2,特斯拉,Model Y,31400,28.85,合资新能源
2025,7,3,五菱,宏光MINIEV,27600,4.58,自主新能源
2025,7,4,小米,SU7,24400,24.99,自主新能源
2025,7,5,比亚迪,秦PLUS,21700,9.18,自主新能源
2025,7,6,比亚迪,海豹06,16400,12.98,自主新能源
2025,7,7,比亚迪,秦L,15800,10.98,自主新能源
2025,7,8,问界,M8,22000,29.98,自主新能源
2025,7,9,理想,L6,14800,25.98,自主新能源
2025,7,10,小鹏,MONA M03,14500,12.98,自主新能源
2025,7,11,比亚迪,海鸥,13200,7.78,自主新能源
2025,7,12,比亚迪,宋PLUS,12500,15.98,自主新能源
2025,7,13,蔚来,ET5,11800,32.80,自主新能源
2025,7,14,零跑,C10,10500,14.98,自主新能源
2025,7,15,比亚迪,元UP,9800,9.68,自主新能源
2025,7,16,广汽丰田,铂智3X,8765,16.98,合资新能源
2025,7,17,上汽通用别克,GL8 PHEV,8123,35.98,合资新能源
2025,7,18,东风日产,N7,7432,18.98,合资新能源
2025,7,19,上汽大众,ID.3,6987,16.28,合资新能源
2025,7,20,华晨宝马,i3,6543,35.98,合资新能源
2025,8,1,吉利,星愿,46057,8.38,自主新能源
2025,8,2,特斯拉,Model Y,39413,28.85,合资新能源
2025,8,3,五菱,宏光MINIEV,37828,4.58,自主新能源
2025,8,4,比亚迪,秦PLUS,35800,9.18,自主新能源
2025,8,5,比亚迪,海狮06,25453,13.98,自主新能源
2025,8,6,比亚迪,秦L,25380,10.98,自主新能源
2025,8,7,比亚迪,海豹06,24353,12.98,自主新能源
2025,8,8,比亚迪,海鸥,23031,7.78,自主新能源
2025,8,9,问界,M8,21537,29.98,自主新能源
2025,8,10,小米,SU7,19848,24.99,自主新能源
2025,8,11,比亚迪,元UP,19647,9.68,自主新能源
2025,8,12,特斯拉,Model 3,17739,26.59,合资新能源
2025,8,13,小米,YU7,16548,16.99,自主新能源
2025,8,14,小鹏,MONA M03,15333,12.98,自主新能源
2025,8,15,长安,Lumin,14570,4.99,自主新能源
2025,8,16,比亚迪,海豚,13968,11.68,自主新能源
2025,8,17,比亚迪,海豹05 DM-i,13495,11.98,自主新能源
2025,8,18,零跑,C10,13384,14.98,自主新能源
2025,8,19,比亚迪,宋PLUS,13098,15.98,自主新能源
2025,8,20,比亚迪,宋Pro,12681,13.98,自主新能源
2025,9,1,比亚迪,秦PLUS,43210,9.18,自主新能源
2025,9,2,特斯拉,Model Y,42109,28.85,合资新能源
2025,9,3,五菱,宏光MINIEV,40987,4.58,自主新能源
2025,9,4,吉利,星愿,39876,8.38,自主新能源
2025,9,5,比亚迪,海鸥,38765,7.78,自主新能源
2025,9,6,比亚迪,宋PLUS,36543,15.98,自主新能源
2025,9,7,特斯拉,Model 3,35432,26.59,合资新能源
2025,9,8,比亚迪,元UP,34321,9.68,自主新能源
2025,9,9,比亚迪,海豚,33210,11.68,自主新能源
2025,9,10,理想,L6,32109,25.98,自主新能源
2025,9,11,小鹏,MONA M03,30987,12.98,自主新能源
2025,9,12,蔚来,ET5,29876,32.80,自主新能源
2025,9,13,问界,M8,28765,29.98,自主新能源
2025,9,14,零跑,C10,27654,14.98,自主新能源
2025,9,15,小米,SU7,26543,24.99,自主新能源
2025,9,16,广汽丰田,铂智3X,9432,16.98,合资新能源
2025,9,17,上汽通用别克,GL8 PHEV,8765,35.98,合资新能源
2025,9,18,东风日产,N7,8098,18.98,合资新能源
2025,9,19,上汽大众,ID.3,7654,16.28,合资新能源
2025,9,20,华晨宝马,i3,7210,35.98,合资新能源
2025,10,1,比亚迪,秦PLUS,45678,9.18,自主新能源
2025,10,2,特斯拉,Model Y,44567,28.85,合资新能源
2025,10,3,五菱,宏光MINIEV,43456,4.58,自主新能源
2025,10,4,吉利,星愿,42345,8.38,自主新能源
2025,10,5,比亚迪,海鸥,41234,7.78,自主新能源
2025,10,6,比亚迪,宋PLUS,39876,15.98,自主新能源
2025,10,7,特斯拉,Model 3,38765,26.59,合资新能源
2025,10,8,比亚迪,元UP,37654,9.68,自主新能源
2025,10,9,比亚迪,海豚,36543,11.68,自主新能源
2025,10,10,理想,L6,35432,25.98,自主新能源
2025,10,11,小鹏,MONA M03,34321,12.98,自主新能源
2025,10,12,蔚来,ET5,33210,32.80,自主新能源
2025,10,13,问界,M8,32109,29.98,自主新能源
2025,10,14,零跑,C10,30987,14.98,自主新能源
2025,10,15,小米,SU7,29876,24.99,自主新能源
2025,10,16,广汽丰田,铂智3X,10234,16.98,合资新能源
2025,10,17,上汽通用别克,GL8 PHEV,9543,35.98,合资新能源
2025,10,18,东风日产,N7,8876,18.98,合资新能源
2025,10,19,上汽大众,ID.3,8321,16.28,合资新能源
2025,10,20,华晨宝马,i3,7890,35.98,合资新能源
2025,11,1,五菱,宏光MINIEV,56756,4.58,自主新能源
2025,11,2,特斯拉,Model Y,47132,28.85,合资新能源
2025,11,3,吉利,星愿,42038,8.38,自主新能源
2025,11,4,比亚迪,秦PLUS,39876,9.18,自主新能源
2025,11,5,小米,YU7,33729,16.99,自主新能源
2025,11,6,比亚迪,海狮06,25093,13.98,自主新能源
2025,11,7,问界,M7,25264,28.98,自主新能源
2025,11,8,比亚迪,秦L,24321,10.98,自主新能源
2025,11,9,比亚迪,海豹06,23145,12.98,自主新能源
2025,11,10,问界,M8,16284,29.98,自主新能源
2025,11,11,比亚迪,海鸥,15432,7.78,自主新能源
2025,11,12,特斯拉,Model 3,14321,26.59,合资新能源
2025,11,13,小鹏,MONA M03,13210,12.98,自主新能源
2025,11,14,理想,L6,12109,25.98,自主新能源
2025,11,15,蔚来,ET5,11098,32.80,自主新能源
2025,11,16,广汽丰田,铂智3X,11234,16.98,合资新能源
2025,11,17,上汽通用别克,GL8 PHEV,10456,35.98,合资新能源
2025,11,18,东风日产,N7,9876,18.98,合资新能源
2025,11,19,上汽大众,ID.3,9210,16.28,合资新能源
2025,11,20,华晨宝马,i3,8765,35.98,合资新能源
2025,12,1,比亚迪,秦PLUS,49876,9.18,自主新能源
2025,12,2,特斯拉,Model Y,48765,28.85,合资新能源
2025,12,3,五菱,宏光MINIEV,47654,4.58,自主新能源
2025,12,4,吉利,星愿,46543,8.38,自主新能源
2025,12,5,比亚迪,海鸥,45432,7.78,自主新能源
2025,12,6,比亚迪,宋PLUS,44321,15.98,自主新能源
2025,12,7,特斯拉,Model 3,43210,26.59,合资新能源
2025,12,8,比亚迪,元UP,42109,9.68,自主新能源
2025,12,9,比亚迪,海豚,40987,11.68,自主新能源
2025,12,10,理想,L6,39876,25.98,自主新能源
2025,12,11,小鹏,MONA M03,38765,12.98,自主新能源
2025,12,12,蔚来,ET5,37654,32.80,自主新能源
2025,12,13,问界,M8,36543,29.98,自主新能源
2025,12,14,零跑,C10,35432,14.98,自主新能源
2025,12,15,小米,SU7,34321,24.99,自主新能源
2025,12,16,广汽丰田,铂智3X,12345,16.98,合资新能源
2025,12,17,上汽通用别克,GL8 PHEV,11567,35.98,合资新能源
2025,12,18,东风日产,N7,10987,18.98,合资新能源
2025,12,19,上汽大众,ID.3,10345,16.28,合资新能源
2025,12,20,华晨宝马,i3,9876,35.98,合资新能源
