date,high_temp,low_temp,weather,wind_direction,wind_power,air_quality
2025-03-03,25,16,阴,东北风,3级,良
2025-03-04,21,13,小雨,东风,2级,良
2025-03-05,26,18,晴,东南风,1级,优
2025-03-06,29,19,多云,南风,2级,良
2025-03-07,27,18,阴,西南风,3级,轻度污染
2025-03-08,,14,小雨,西风,2级,中度污染
2025-03-09,28,20,晴,西北风,1级,优
2025-03-10,31,21,多云,北风,2级,良
2025-03-11,29,20,阴,东北风,3级,良
2025-03-12,25,17,小雨,东风,2级,良
2025-03-13,30,22,晴,东南风,1级,优
2025-03-14,33,23,多云,南风,2级,良
2025-03-15,31,22,阴,西南风,3级,轻度污染
2025-03-16,27,19,小雨,西风,2级,中度污染
2025-03-17,32,24,晴,西北风,1级,优
2025-03-18,35,25,多云,北风,2级,良
2025-03-19,33,24,阴,东北风,3级,良
2025-03-20,29,21,小雨,东风,2级,良
2025-03-21,34,26,晴,东南风,1级,优
2025-03-22,37,27,多云,南风,2级,良
2025-03-23,35,26,阴,西南风,3级,轻度污染
2025-03-24,31,23,小雨,西风,2级,中度污染
2025-03-25,36,28,晴,西北风,1级,优
2025-03-26,39,29,多云,北风,2级,良
2025-03-27,37,28,阴,东北风,3级,良
2025-03-28,33,25,小雨,东风,2级,良
2025-03-29,38,30,晴,东南风,1级,优
2025-03-30,,27,阴,南风,2级,轻度污染
2025-03-31,35,26,小雨,西南风,3级,中度污染
2025-04-01,32,23,晴,西风,1级,优
2025-04-02,35,26,多云,西北风,2级,良
2025-04-03,33,25,阴,北风,3级,良
2025-04-04,29,22,小雨,东北风,2级,良
2025-04-05,34,27,晴,东风,1级,优
2025-04-06,37,28,多云,东南风,2级,良
2025-04-07,35,27,阴,南风,3级,轻度污染
2025-04-08,31,24,小雨,西南风,2级,中度污染
2025-04-09,36,29,晴,西风,1级,优
2025-04-10,39,30,多云,西北风,2级,良
2025-04-11,37,29,阴,北风,3级,良
2025-04-12,33,26,小雨,东北风,2级,良
2025-04-13,38,31,晴,东风,1级,优
2025-04-14,41,32,多云,东南风,2级,良
2025-04-15,39,31,阴,南风,3级,轻度污染
2025-04-16,,28,小雨,西南风,2级,中度污染
2025-04-17,40,33,晴,西风,1级,优
2025-04-18,43,34,多云,西北风,2级,良
2025-04-19,41,33,阴,北风,3级,良
2025-04-20,37,30,小雨,东北风,2级,良
2025-04-21,42,35,晴,东风,1级,优
2025-04-22,45,36,多云,东南风,2级,良
2025-04-23,43,35,阴,南风,3级,轻度污染
2025-04-24,39,32,小雨,西南风,2级,中度污染
2025-04-25,44,37,晴,西风,1级,优
2025-04-26,47,38,多云,西北风,2级,良
2025-04-27,45,37,阴,北风,3级,良
2025-04-28,41,34,小雨,东北风,2级,良
2025-04-29,46,39,晴,东风,1级,优
2025-04-30,49,40,多云,东南风,2级,良
2025-05-01,47,39,阴,南风,3级,轻度污染
2025-05-02,43,36,小雨,西南风,2级,中度污染
2025-05-03,48,41,晴,西风,1级,优
2025-05-04,51,42,多云,西北风,2级,良
2025-05-05,49,41,阴,北风,3级,良
2025-05-06,45,38,小雨,东北风,2级,良
2025-05-07,50,43,晴,东风,1级,优
2025-05-08,53,44,多云,东南风,2级,良
2025-05-09,51,43,阴,南风,3级,轻度污染
2025-05-10,,40,小雨,西南风,2级,中度污染
2025-05-11,52,45,晴,西风,1级,优
2025-05-12,55,46,多云,西北风,2级,良
2025-05-13,53,45,阴,北风,3级,良
2025-05-14,49,42,小雨,东北风,2级,良
2025-05-15,54,47,晴,东风,1级,优
2025-05-16,57,48,多云,东南风,2级,良
2025-05-17,55,47,阴,南风,3级,轻度污染
2025-05-18,51,44,小雨,西南风,2级,中度污染
2025-05-19,56,49,晴,西风,1级,优
2025-05-20,59,50,多云,西北风,2级,良
2025-05-21,57,49,阴,北风,3级,良
2025-05-22,53,46,小雨,东北风,2级,良
2025-05-23,58,51,晴,东风,1级,优
2025-05-24,61,52,多云,东南风,2级,良
2025-05-25,59,51,阴,南风,3级,轻度污染
2025-05-26,55,48,小雨,西南风,2级,中度污染
2025-05-27,60,53,晴,西风,1级,优
2025-05-28,63,54,多云,西北风,2级,良
2025-05-29,61,53,阴,北风,3级,良
2025-05-30,57,50,小雨,东北风,2级,良
2025-05-31,62,55,晴,东风,1级,优
2025-06-01,65,56,多云,东南风,2级,良
2025-06-02,63,55,阴,南风,3级,轻度污染
2025-06-03,59,52,小雨,西南风,2级,中度污染
2025-06-04,64,57,晴,西风,1级,优
2025-06-05,67,58,多云,西北风,2级,良
2025-06-06,65,57,阴,北风,3级,良
2025-06-07,61,54,小雨,东北风,2级,良
2025-06-08,66,59,晴,东风,1级,优
2025-06-09,69,60,多云,东南风,2级,良
2025-06-10,67,59,阴,南风,3级,轻度污染
2025-06-11,,56,小雨,西南风,2级,中度污染
2025-06-12,68,61,晴,西风,1级,优
2025-06-13,71,62,多云,西北风,2级,良
2025-06-14,69,61,阴,北风,3级,良
2025-06-15,65,58,小雨,东北风,2级,良
2025-06-16,70,63,晴,东风,1级,优
2025-06-17,73,64,多云,东南风,2级,良
2025-06-18,71,63,阴,南风,3级,轻度污染
2025-06-19,67,60,小雨,西南风,2级,中度污染
2025-06-20,72,65,晴,西风,1级,优
2025-06-21,75,66,多云,西北风,2级,良
2025-06-22,73,65,阴,北风,3级,良
2025-06-23,69,62,小雨,东北风,2级,良
2025-06-24,74,67,晴,东风,1级,优
2025-06-25,77,68,多云,东南风,2级,良
2025-06-26,75,67,阴,南风,3级,轻度污染
2025-06-27,71,64,小雨,西南风,2级,中度污染
2025-06-28,76,69,晴,西风,1级,优
2025-06-29,79,70,多云,西北风,2级,良
2025-06-30,77,69,阴,北风,3级,良
2025-07-01,73,66,小雨,东北风,2级,良
2025-07-02,78,71,晴,东风,1级,优
2025-07-03,81,72,多云,东南风,2级,良
2025-07-04,79,71,阴,南风,3级,轻度污染
2025-07-05,75,68,小雨,西南风,2级,中度污染
2025-07-06,80,73,晴,西风,1级,优
2025-07-07,83,74,多云,西北风,2级,良
2025-07-08,81,73,阴,北风,3级,良
2025-07-09,77,70,小雨,东北风,2级,良
2025-07-10,82,75,晴,东风,1级,优
2025-07-11,85,76,多云,东南风,2级,良
2025-07-12,83,75,阴,南风,3级,轻度污染
2025-07-13,,72,小雨,西南风,2级,中度污染
2025-07-14,84,77,晴,西风,1级,优
2025-07-15,87,78,多云,西北风,2级,良
2025-07-16,85,77,阴,北风,3级,良
2025-07-17,81,74,小雨,东北风,2级,良
2025-07-18,86,79,晴,东风,1级,优
2025-07-19,89,80,多云,东南风,2级,良
2025-07-20,87,79,阴,南风,3级,轻度污染
2025-07-21,83,76,小雨,西南风,2级,中度污染
2025-07-22,88,81,晴,西风,1级,优
2025-07-23,91,82,多云,西北风,2级,良
2025-07-24,89,81,阴,北风,3级,良
2025-07-25,85,78,小雨,东北风,2级,良
2025-07-26,90,83,晴,东风,1级,优
2025-07-27,93,84,多云,东南风,2级,良
2025-07-28,91,83,阴,南风,3级,轻度污染
2025-07-29,87,80,小雨,西南风,2级,中度污染
2025-07-30,92,85,晴,西风,1级,优
2025-07-31,95,86,多云,西北风,2级,良
2025-08-01,93,85,阴,北风,3级,良
2025-08-02,89,82,小雨,东北风,2级,良
2025-08-03,94,87,晴,东风,1级,优
2025-08-04,97,88,多云,东南风,2级,良
2025-08-05,95,87,阴,南风,3级,轻度污染
2025-08-06,91,84,小雨,西南风,2级,中度污染
2025-08-07,96,89,晴,西风,1级,优
2025-08-08,99,90,多云,西北风,2级,良
2025-08-09,97,89,阴,北风,3级,良
2025-08-10,93,86,小雨,东北风,2级,良
2025-08-11,98,91,晴,东风,1级,优
2025-08-12,101,92,多云,东南风,2级,良
2025-08-13,99,91,阴,南风,3级,轻度污染
2025-08-14,,88,小雨,西南风,2级,中度污染
2025-08-15,100,93,晴,西风,1级,优
2025-08-16,103,94,多云,西北风,2级,良
2025-08-17,101,93,阴,北风,3级,良
2025-08-18,97,90,小雨,东北风,2级,良
2025-08-19,102,95,晴,东风,1级,优
2025-08-20,105,96,多云,东南风,2级,良
2025-08-21,103,95,阴,南风,3级,轻度污染
2025-08-22,99,92,小雨,西南风,2级,中度污染
2025-08-23,104,97,晴,西风,1级,优
2025-08-24,107,98,多云,西北风,2级,良
2025-08-25,105,97,阴,北风,3级,良
2025-08-26,101,94,小雨,东北风,2级,良
2025-08-27,106,99,晴,东风,1级,优
2025-08-28,109,100,多云,东南风,2级,良
2025-08-29,107,99,阴,南风,3级,轻度污染
2025-08-30,103,96,小雨,西南风,2级,中度污染
2025-08-31,108,101,晴,西风,1级,优
2025-09-01,98,85,多云,西北风,2级,良
2025-09-02,93,80,阴,北风,3级,良
2025-09-03,88,75,小雨,东北风,2级,良
2025-09-04,95,82,晴,东风,1级,优
2025-09-05,90,77,多云,东南风,2级,良
2025-09-06,85,72,阴,南风,3级,轻度污染
2025-09-07,80,67,小雨,西南风,2级,中度污染
2025-09-08,87,74,晴,西风,1级,优
2025-09-09,82,69,多云,西北风,2级,良
2025-09-10,77,64,阴,北风,3级,良
2025-09-11,72,59,小雨,东北风,2级,良
2025-09-12,79,66,晴,东风,1级,优
2025-09-13,74,61,多云,东南风,2级,良
2025-09-14,69,56,阴,南风,3级,轻度污染
2025-09-15,,51,小雨,西南风,2级,中度污染
2025-09-16,71,58,晴,西风,1级,优
2025-09-17,66,53,多云,西北风,2级,良
2025-09-18,61,48,阴,北风,3级,良
2025-09-19,56,43,小雨,东北风,2级,良
2025-09-20,63,50,晴,东风,1级,优
2025-09-21,58,45,多云,东南风,2级,良
2025-09-22,53,40,阴,南风,3级,轻度污染
2025-09-23,48,35,小雨,西南风,2级,中度污染
2025-09-24,55,42,晴,西风,1级,优
2025-09-25,50,37,多云,西北风,2级,良
2025-09-26,45,32,阴,北风,3级,良
2025-09-27,40,27,小雨,东北风,2级,良
2025-09-28,47,34,晴,东风,1级,优
2025-09-29,42,29,多云,东南风,2级,良
2025-09-30,37,24,阴,南风,3级,轻度污染
2025-10-01,32,19,小雨,西南风,2级,中度污染
2025-10-02,39,26,晴,西风,1级,优
2025-10-03,34,21,多云,西北风,2级,良
2025-10-04,29,16,阴,北风,3级,良
2025-10-05,24,11,小雨,东北风,2级,良
2025-10-06,31,18,晴,东风,1级,优
2025-10-07,26,13,多云,东南风,2级,良
2025-10-08,21,8,阴,南风,3级,轻度污染
2025-10-09,16,3,小雨,西南风,2级,中度污染
2025-10-10,23,10,晴,西风,1级,优
2025-10-11,18,5,多云,西北风,2级,良
2025-10-12,13,0,阴,北风,3级,良
2025-10-13,8,-5,小雨,东北风,2级,良
2025-10-14,15,2,晴,东风,1级,优
2025-10-15,10,-3,多云,东南风,2级,良
2025-10-16,5,-8,阴,南风,3级,轻度污染
2025-10-17,,-13,小雨,西南风,2级,中度污染
2025-10-18,7,-6,晴,西风,1级,优
2025-10-19,2,-11,多云,西北风,2级,良
2025-10-20,-3,-16,阴,北风,3级,良
2025-10-21,-8,-21,小雨,东北风,2级,良
2025-10-22,-1,-14,晴,东风,1级,优
2025-10-23,-6,-19,多云,东南风,2级,良
2025-10-24,-11,-24,阴,南风,3级,轻度污染
2025-10-25,-16,-29,小雨,西南风,2级,中度污染
2025-10-26,-9,-22,晴,西风,1级,优
2025-10-27,-14,-27,多云,西北风,2级,良
2025-10-28,-19,-32,阴,北风,3级,良
2025-10-29,-24,-37,小雨,东北风,2级,良
2025-10-30,-17,-30,晴,东风,1级,优
2025-10-31,-22,-35,多云,东南风,2级,良
2025-11-01,15,3,晴,东北风,2级,良
2025-11-02,12,1,多云,北风,3级,良
2025-11-03,9,-1,阴,西北风,2级,轻度污染
2025-11-04,6,-3,小雨,西风,3级,中度污染
2025-11-05,3,-6,小雪,北风,2级,良
2025-11-06,8,-1,晴,东北风,1级,优
2025-11-07,11,2,多云,东风,2级,良
2025-11-08,9,0,阴,东南风,3级,轻度污染
2025-11-09,5,-3,小雨,南风,2级,中度污染
2025-11-10,10,1,晴,西南风,1级,优
2025-11-11,13,4,多云,西风,2级,良
2025-11-12,11,3,阴,西北风,3级,良
2025-11-13,7,0,小雪,北风,2级,良
2025-11-14,12,5,晴,东北风,1级,优
2025-11-15,15,6,多云,东风,2级,良
2025-11-16,13,5,阴,东南风,3级,轻度污染
2025-11-17,9,2,小雨,南风,2级,中度污染
2025-11-18,14,7,晴,西南风,1级,优
2025-11-19,17,8,多云,西风,2级,良
2025-11-20,15,7,阴,西北风,3级,良
2025-11-21,11,4,小雨,北风,2级,良
2025-11-22,16,9,晴,东北风,1级,优
2025-11-23,19,10,多云,东风,2级,良
2025-11-24,17,9,阴,东南风,3级,轻度污染
2025-11-25,,5,小雨,南风,2级,中度污染
2025-11-26,18,11,晴,西南风,1级,优
2025-11-27,21,12,多云,西风,2级,良
2025-11-28,19,11,阴,西北风,3级,良
2025-11-29,15,8,小雨,北风,2级,良
2025-11-30,20,13,晴,东北风,1级,优
2025-12-01,23,14,多云,东风,2级,良
2025-12-02,21,13,阴,东南风,3级,轻度污染
2025-12-03,17,10,小雨,南风,2级,中度污染
2025-12-04,22,15,晴,西南风,1级,优
2025-12-05,25,16,多云,西风,2级,良
2025-12-06,23,15,阴,西北风,3级,良
2025-12-07,19,12,小雨,北风,2级,良
2025-12-08,24,17,晴,东北风,1级,优
2025-12-09,27,18,多云,东风,2级,良
2025-12-10,25,17,阴,东南风,3级,轻度污染
2025-12-11,21,14,小雨,南风,2级,中度污染
2025-12-12,26,19,晴,西南风,1级,优
2025-12-13,29,20,多云,西风,2级,良
2025-12-14,27,19,阴,西北风,3级,良
2025-12-15,23,16,小雨,北风,2级,良
2025-12-16,28,21,晴,东北风,1级,优
2025-12-17,31,22,多云,东风,2级,良
2025-12-18,29,21,阴,东南风,3级,轻度污染
2025-12-19,,17,小雨,南风,2级,中度污染
2025-12-20,30,23,晴,西南风,1级,优
2025-12-21,33,24,多云,西风,2级,良
2025-12-22,31,23,阴,西北风,3级,良
2025-12-23,27,20,小雨,北风,2级,良
2025-12-24,32,25,晴,东北风,1级,优
2025-12-25,35,26,多云,东风,2级,良
2025-12-26,33,25,阴,东南风,3级,轻度污染
2025-12-27,29,22,小雨,南风,2级,中度污染
2025-12-28,34,27,晴,西南风,1级,优
2025-12-29,37,28,多云,西风,2级,良
2025-12-30,35,27,阴,西北风,3级,良
2025-12-31,31,24,小雨,北风,2级,良
