,employee_id,name,gender,age,department,salary,work_years,is_left,score
62,63,员工63,男,25,人事部,7300,2,1,67
63,64,员工64,女,26,人事部,8100,2,1,71
64,65,员工65,男,27,人事部,8900,3,1,74
65,66,员工66,女,28,人事部,9700,3,1,77
66,67,员工67,男,29,人事部,10500,4,1,79
67,68,员工68,女,30,人事部,11300,4,1,81
68,69,员工69,男,31,人事部,12100,5,1,83
69,70,员工70,女,32,人事部,12900,5,1,85
70,71,员工71,男,33,人事部,13700,6,0,86
71,72,员工72,女,34,人事部,14500,6,0,88
72,73,员工73,男,23,财务部,6000,1,0,64
73,74,员工74,女,24,财务部,6700,1,0,68
74,75,员工75,男,25,财务部,7600,2,0,72
75,76,员工76,女,26,财务部,8500,2,0,75
76,77,员工77,男,27,财务部,9400,3,0,78
77,78,员工78,女,28,财务部,10300,3,0,80
78,79,员工79,男,29,财务部,11200,4,0,82
79,80,员工80,女,30,财务部,12100,4,0,84
80,81,员工81,男,31,财务部,13000,5,0,86
81,82,员工82,女,32,财务部,13900,5,0,88
82,83,员工83,男,23,财务部,6100,1,1,61
83,84,员工84,女,24,财务部,6800,1,1,65
84,85,员工85,男,25,财务部,7700,2,1,69
85,86,员工86,女,26,财务部,8600,2,1,73
86,87,员工87,男,27,财务部,9500,3,1,76
87,88,员工88,女,28,财务部,10400,3,1,78
88,89,员工89,男,29,财务部,11300,4,1,80
89,90,员工90,女,30,财务部,12200,4,1,82
90,91,员工91,男,31,财务部,13100,5,1,84
91,92,员工92,女,32,财务部,14000,5,1,86
92,93,员工93,男,33,财务部,14900,6,0,87
93,94,员工94,女,34,财务部,15800,6,0,89
94,95,员工95,男,35,财务部,16700,7,0,90
95,96,员工96,女,36,财务部,17600,7,0,91
96,97,员工97,男,35,管理层,25000,10,0,92
97,98,员工98,女,36,管理层,26000,10,0,93
98,99,员工99,男,37,管理层,27000,11,0,94
99,100,员工100,女,38,管理层,28000,11,0,95
100,101,员工101,男,23,技术部,6600,1,0,66
101,102,员工102,女,24,技术部,7100,1,0,69
102,103,员工103,男,25,技术部,8100,2,0,73
103,104,员工104,女,26,技术部,8600,2,0,76
104,105,员工105,男,27,技术部,9600,3,0,79
105,106,员工106,女,28,技术部,10100,3,0,81
106,107,员工107,男,29,技术部,11100,4,0,83
107,108,员工108,女,30,技术部,12100,4,0,86
108,109,员工109,男,31,技术部,13100,5,0,87
109,110,员工110,女,32,技术部,14100,5,0,89
110,111,员工111,男,23,技术部,6900,1,1,63
111,112,员工112,女,24,技术部,7300,1,1,67
112,113,员工113,男,25,技术部,8300,2,1,71
113,114,员工114,女,26,技术部,8700,2,1,74
114,115,员工115,男,27,技术部,9700,3,1,77
115,116,员工116,女,28,技术部,10300,3,1,80
116,117,员工117,男,29,技术部,11300,4,1,82
117,118,员工118,女,30,技术部,12300,4,1,84
118,119,员工119,男,31,技术部,13300,5,1,86
119,120,员工120,女,32,技术部,14300,5,1,88
120,121,员工121,男,33,技术部,15100,6,0,89
121,122,员工122,女,34,技术部,16100,6,0,91
122,123,员工123,男,35,技术部,17100,7,0,92
123,124,员工124,女,36,技术部,18100,7,0,93
124,125,员工125,男,37,技术部,19100,8,0,94
125,126,员工126,女,38,技术部,20100,8,0,95
126,127,员工127,男,23,市场部,6100,1,0,64
127,128,员工128,女,24,市场部,6700,1,0,68
128,129,员工129,男,25,市场部,7600,2,0,72
129,130,员工130,女,26,市场部,8600,2,0,75
130,131,员工131,男,27,市场部,9600,3,0,78
131,132,员工132,女,28,市场部,10600,3,0,81
132,133,员工133,男,29,市场部,11600,4,0,83
133,134,员工134,女,30,市场部,12600,4,0,85
134,135,员工135,男,31,市场部,13600,5,0,87
135,136,员工136,女,32,市场部,14600,5,0,89
136,137,员工137,男,23,市场部,6300,1,1,61
137,138,员工138,女,24,市场部,6900,1,1,65
138,139,员工139,男,25,市场部,7700,2,1,69
139,140,员工140,女,26,市场部,8700,2,1,73
140,141,员工141,男,27,市场部,9700,3,1,76
141,142,员工142,女,28,市场部,10700,3,1,79
142,143,员工143,男,29,市场部,11700,4,1,81
143,144,员工144,女,30,市场部,12700,4,1,83
144,145,员工145,男,31,市场部,13700,5,1,85
145,146,员工146,女,32,市场部,14700,5,1,87
146,147,员工147,男,33,市场部,15600,6,0,88
147,148,员工148,女,34,市场部,16600,6,0,90
148,149,员工149,男,35,市场部,17600,7,0,91
149,150,员工150,女,36,市场部,18600,7,0,92
150,151,员工151,男,23,人事部,5900,1,0,63
151,152,员工152,女,24,人事部,6500,1,0,67
152,153,员工153,男,25,人事部,7300,2,0,71
153,154,员工154,女,26,人事部,8100,2,0,74
154,155,员工155,男,27,人事部,8900,3,0,77
155,156,员工156,女,28,人事部,9700,3,0,80
156,157,员工157,男,29,人事部,10500,4,0,82
157,158,员工158,女,30,人事部,11300,4,0,84
158,159,员工159,男,31,人事部,12100,5,0,86
159,160,员工160,女,32,人事部,12900,5,0,88
160,161,员工161,男,23,人事部,6000,1,1,60
161,162,员工162,女,24,人事部,6600,1,1,64
162,163,员工163,男,25,人事部,7400,2,1,68
163,164,员工164,女,26,人事部,8200,2,1,72
164,165,员工165,男,27,人事部,9000,3,1,75
165,166,员工166,女,28,人事部,9800,3,1,78
166,167,员工167,男,29,人事部,10600,4,1,80
167,168,员工168,女,30,人事部,11400,4,1,82
168,169,员工169,男,31,人事部,12200,5,1,84
169,170,员工170,女,32,人事部,13000,5,1,86
170,171,员工171,男,33,人事部,13800,6,0,87
171,172,员工172,女,34,人事部,14600,6,0,89
172,173,员工173,男,23,财务部,6100,1,0,65
173,174,员工174,女,24,财务部,6800,1,0,69
174,175,员工175,男,25,财务部,7700,2,0,73
175,176,员工176,女,26,财务部,8600,2,0,76
176,177,员工177,男,27,财务部,9500,3,0,79
177,178,员工178,女,28,财务部,10400,3,0,81
178,179,员工179,男,29,财务部,11300,4,0,83
179,180,员工180,女,30,财务部,12200,4,0,85
180,181,员工181,男,31,财务部,13100,5,0,87
181,182,员工182,女,32,财务部,14000,5,0,89
182,183,员工183,男,23,财务部,6200,1,1,62
183,184,员工184,女,24,财务部,6900,1,1,66
184,185,员工185,男,25,财务部,7800,2,1,70
185,186,员工186,女,26,财务部,8700,2,1,74
186,187,员工187,男,27,财务部,9600,3,1,77
187,188,员工188,女,28,财务部,10500,3,1,79
188,189,员工189,男,29,财务部,11400,4,1,81
189,190,员工190,女,30,财务部,12300,4,1,83
190,191,员工191,男,31,财务部,13200,5,1,85
191,192,员工192,女,32,财务部,14100,5,1,87
192,193,员工193,男,33,财务部,15000,6,0,88
193,194,员工194,女,34,财务部,15900,6,0,90
194,195,员工195,男,35,财务部,16800,7,0,91
195,196,员工196,女,36,财务部,17700,7,0,92
196,197,员工197,男,35,管理层,25500,10,0,93
197,198,员工198,女,36,管理层,26500,10,0,94
198,199,员工199,男,37,管理层,27500,11,0,95
199,200,员工200,女,38,管理层,28500,11,0,96
200,201,员工201,男,24,技术部,6700,1,0,67
201,202,员工202,女,25,技术部,7200,1,0,70
202,203,员工203,男,26,技术部,8200,2,0,74
203,204,员工204,女,27,技术部,8700,2,0,77
204,205,员工205,男,28,技术部,9700,3,0,80
205,206,员工206,女,29,技术部,10200,3,0,82
206,207,员工207,男,30,技术部,11200,4,0,84
207,208,员工208,女,31,技术部,12200,4,0,87
208,209,员工209,男,32,技术部,13200,5,0,88
209,210,员工210,女,33,技术部,14200,5,0,90
210,211,员工211,男,24,技术部,7000,1,1,64
211,212,员工212,女,25,技术部,7400,1,1,68
212,213,员工213,男,26,技术部,8400,2,1,72
213,214,员工214,女,27,技术部,8800,2,1,75
214,215,员工215,男,28,技术部,9800,3,1,78
215,216,员工216,女,29,技术部,10400,3,1,81
216,217,员工217,男,30,技术部,11400,4,1,83
217,218,员工218,女,31,技术部,12400,4,1,85
218,219,员工219,男,32,技术部,13400,5,1,87
219,220,员工220,女,33,技术部,14400,5,1,89
220,221,员工221,男,34,技术部,15200,6,0,90
221,222,员工222,女,35,技术部,16200,6,0,92
222,223,员工223,男,36,技术部,17200,7,0,93
223,224,员工224,女,37,技术部,18200,7,0,94
224,225,员工225,男,38,技术部,19200,8,0,95
225,226,员工226,女,39,技术部,20200,8,0,96
226,227,员工227,男,24,市场部,6200,1,0,65
227,228,员工228,女,25,市场部,6800,1,0,69
228,229,员工229,男,26,市场部,7700,2,0,73
229,230,员工230,女,27,市场部,8700,2,0,76
230,231,员工231,男,28,市场部,9700,3,0,79
231,232,员工232,女,29,市场部,10700,3,0,82
232,233,员工233,男,30,市场部,11700,4,0,84
233,234,员工234,女,31,市场部,12700,4,0,86
234,235,员工235,男,32,市场部,13700,5,0,88
235,236,员工236,女,33,市场部,14700,5,0,90
236,237,员工237,男,24,市场部,6400,1,1,62
237,238,员工238,女,25,市场部,7000,1,1,66
238,239,员工239,男,26,市场部,7800,2,1,70
239,240,员工240,女,27,市场部,8800,2,1,74
240,241,员工241,男,28,市场部,9800,3,1,77
241,242,员工242,女,29,市场部,10800,3,1,80
242,243,员工243,男,30,市场部,11800,4,1,82
243,244,员工244,女,31,市场部,12800,4,1,84
244,245,员工245,男,32,市场部,13800,5,1,86
245,246,员工246,女,33,市场部,14800,5,1,88
246,247,员工247,男,34,市场部,15700,6,0,89
247,248,员工248,女,35,市场部,16700,6,0,91
248,249,员工249,男,36,市场部,17700,7,0,92
249,250,员工250,女,37,市场部,18700,7,0,93
250,251,员工251,男,24,人事部,6000,1,0,64
251,252,员工252,女,25,人事部,6600,1,0,68
252,253,员工253,男,26,人事部,7400,2,0,72
253,254,员工254,女,27,人事部,8200,2,0,75
254,255,员工255,男,28,人事部,9000,3,0,78
255,256,员工256,女,29,人事部,9800,3,0,81
256,257,员工257,男,30,人事部,10600,4,0,83
257,258,员工258,女,31,人事部,11400,4,0,85
258,259,员工259,男,32,人事部,12200,5,0,87
259,260,员工260,女,33,人事部,13000,5,0,89
260,261,员工261,男,24,人事部,6100,1,1,61
261,262,员工262,女,25,人事部,6700,1,1,65
262,263,员工263,男,26,人事部,7500,2,1,69
263,264,员工264,女,27,人事部,8300,2,1,73
264,265,员工265,男,28,人事部,9100,3,1,76
265,266,员工266,女,29,人事部,9900,3,1,79
266,267,员工267,男,30,人事部,10700,4,1,81
267,268,员工268,女,31,人事部,11500,4,1,83
268,269,员工269,男,32,人事部,12300,5,1,85
269,270,员工270,女,33,人事部,13100,5,1,87
270,271,员工271,男,34,人事部,13900,6,0,88
271,272,员工272,女,35,人事部,14700,6,0,90
272,273,员工273,男,24,财务部,6200,1,0,66
273,274,员工274,女,25,财务部,6900,1,0,70
274,275,员工275,男,26,财务部,7800,2,0,74
275,276,员工276,女,27,财务部,8700,2,0,77
276,277,员工277,男,28,财务部,9600,3,0,80
277,278,员工278,女,29,财务部,10500,3,0,82
278,279,员工279,男,30,财务部,11400,4,0,84
279,280,员工280,女,31,财务部,12300,4,0,86
280,281,员工281,男,32,财务部,13200,5,0,88
281,282,员工282,女,33,财务部,14100,5,0,90
282,283,员工283,男,24,财务部,6300,1,1,63
283,284,员工284,女,25,财务部,7000,1,1,67
284,285,员工285,男,26,财务部,7900,2,1,71
285,286,员工286,女,27,财务部,8800,2,1,75
286,287,员工287,男,28,财务部,9700,3,1,78
287,288,员工288,女,29,财务部,10600,3,1,80
288,289,员工289,男,30,财务部,11500,4,1,82
289,290,员工290,女,31,财务部,12400,4,1,84
290,291,员工291,男,32,财务部,13300,5,1,86
291,292,员工292,女,33,财务部,14200,5,1,88
292,293,员工293,男,34,财务部,15100,6,0,89
293,294,员工294,女,35,财务部,16000,6,0,91
294,295,员工295,男,36,财务部,16900,7,0,92
295,296,员工296,女,37,财务部,17800,7,0,93
296,297,员工297,男,36,管理层,26000,10,0,94
297,298,员工298,女,37,管理层,27000,10,0,95
298,299,员工299,男,38,管理层,28000,11,0,96
299,300,员工300,女,39,管理层,29000,11,0,97
